,disp,lat,lon,net,sta,disp_pc
2020-02-10 12:00:00,2.8555564153e-10,50.186699,-5.227299,GB,CCA1,-95.4362766579
2020-02-11 12:00:00,1.94244765802e-10,50.186699,-5.227299,GB,CCA1,-32.9424751871
2020-02-12 12:00:00,1.35958147385e-10,50.186699,-5.227299,GB,CCA1,6.94929379116
2020-02-13 12:00:00,1.95732454353e-10,50.186699,-5.227299,GB,CCA1,-33.9606596282
2020-02-14 12:00:00,1.31342037668e-10,50.186699,-5.227299,GB,CCA1,10.1085915416
2020-02-15 12:00:00,2.45747421981e-10,50.186699,-5.227299,GB,CCA1,-68.1912530001
2020-02-16 12:00:00,1.77038414055e-10,50.186699,-5.227299,GB,CCA1,-21.1663278051
2020-02-17 12:00:00,2.03720060746e-10,50.186699,-5.227299,GB,CCA1,-39.4274332642
2020-02-18 12:00:00,1.60291682678e-10,50.186699,-5.227299,GB,CCA1,-9.70474781683
2020-02-19 12:00:00,1.48918107471e-10,50.186699,-5.227299,GB,CCA1,-1.92059346154
2020-02-20 12:00:00,1.60902838159e-10,50.186699,-5.227299,GB,CCA1,-10.123026899
2020-02-21 12:00:00,1.40927800773e-10,50.186699,-5.227299,GB,CCA1,3.54802828225
2020-02-22 12:00:00,1.40272765302e-10,50.186699,-5.227299,GB,CCA1,3.99633913624
2020-02-23 12:00:00,1.27303878477e-10,50.186699,-5.227299,GB,CCA1,12.8723359122
2020-02-24 12:00:00,1.68808440087e-10,50.186699,-5.227299,GB,CCA1,-15.5336761067
2020-02-25 12:00:00,1.61545723145e-10,50.186699,-5.227299,GB,CCA1,-10.5630218766
2020-02-26 12:00:00,1.70580233264e-10,50.186699,-5.227299,GB,CCA1,-16.7463037391
2020-02-27 12:00:00,1.43305676581e-10,50.186699,-5.227299,GB,CCA1,1.92059346154
2020-02-28 12:00:00,1.36000034237e-10,50.186699,-5.227299,GB,CCA1,6.92062613727
2020-02-29 12:00:00,1.62672791768e-10,50.186699,-5.227299,GB,CCA1,-11.3343955185
2020-03-01 12:00:00,1.05592465437e-10,50.186699,-5.227299,GB,CCA1,27.7317787259
2020-03-02 12:00:00,1.20919481677e-10,50.186699,-5.227299,GB,CCA1,17.2418616989
2020-03-03 12:00:00,1.25047938438e-10,50.186699,-5.227299,GB,CCA1,14.4163170403
2020-03-04 12:00:00,1.07754089265e-10,50.186699,-5.227299,GB,CCA1,26.2523482715
2020-03-05 12:00:00,1.20579933031e-10,50.186699,-5.227299,GB,CCA1,17.4742511655
2020-03-06 12:00:00,1.5142163518e-10,50.186699,-5.227299,GB,CCA1,-3.63402532137
2020-03-07 12:00:00,1.01311028037e-10,50.186699,-5.227299,GB,CCA1,30.6620244035
2020-03-08 12:00:00,1.13854468187e-10,50.186699,-5.227299,GB,CCA1,22.0772063054
2020-03-09 12:00:00,1.38625553992e-10,50.186699,-5.227299,GB,CCA1,5.1237020684
2020-03-10 12:00:00,1.4139816528e-10,50.186699,-5.227299,GB,CCA1,3.22610752646
2020-03-11 12:00:00,1.24573816551e-10,50.186699,-5.227299,GB,CCA1,14.7408093732
2020-03-12 12:00:00,1.85076106213e-10,50.186699,-5.227299,GB,CCA1,-26.667380489
2020-03-13 12:00:00,1.17924132294e-10,50.186699,-5.227299,GB,CCA1,19.2918997494
2020-03-14 12:00:00,9.45229508409e-11,50.186699,-5.227299,GB,CCA1,35.3078318745
2020-03-15 12:00:00,7.50333679108e-11,50.186699,-5.227299,GB,CCA1,48.646638634
2020-03-16 12:00:00,1.16518569275e-10,50.186699,-5.227299,GB,CCA1,20.2538769024
2020-03-17 12:00:00,1.19515493689e-10,50.186699,-5.227299,GB,CCA1,18.2027608901
2020-03-18 12:00:00,1.11863364066e-10,50.186699,-5.227299,GB,CCA1,23.4399318802
2020-03-19 12:00:00,1.14146319515e-10,50.186699,-5.227299,GB,CCA1,21.8774612165
2020-03-20 12:00:00,1.27825073259e-10,50.186699,-5.227299,GB,CCA1,12.5156265612
